,course_title,course_URL,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_icon,image_name
40,UI / UX Design,https://www.coursera.org/specializations/ui-ux-design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,130k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/41/f404907a3011e8b427dbe925a8251e/specialization_logo_02d.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,UI / UX Design by California Institute of the Arts
41,"Data Engineering, Big Data, and Machine Learning on GCP",https://www.coursera.org/specializations/gcp-data-machine-learning,Google Cloud,SPECIALIZATION,4.6,Intermediate,160k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/95/77558056d811e79f95119f98b3ba96/visite-google-datacenter-14.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"Data Engineering, Big Data, and Machine Learning on GCP by Google Cloud"
42,UCI Project Management,https://www.coursera.org/professional-certificate/applied-project-management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,None,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera_assets/search/assets/uci_apm.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,"UCI Project Management by University of California, Irvine"
43,Foundations of Positive Psychology,https://www.coursera.org/specializations/positivepsychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,100k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/dd/7ae3d0bd8411e6834f83bd22b5a2e6/PositivePsychology_MOOC_Icons_Specialization.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Foundations of Positive Psychology by University of Pennsylvania
44,Introduction to Finance and Accounting,https://www.coursera.org/specializations/finance-accounting,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,330k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/b0/c1d3f49be04d6b9a0a676683c8647e/Specialization-Graphic_v1.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Introduction to Finance and Accounting by University of Pennsylvania
45,Improve Your English Communication Skills,https://www.coursera.org/specializations/improve-english,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,940k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/de/036cf0b65511e589fc15915145485b/199356_specialization_icon.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Improve Your English Communication Skills by Georgia Institute of Technology
46,IBM AI Engineering,https://www.coursera.org/professional-certificates/ai-engineer,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,180k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a2/922bfdcbbe4ac1a413253209b11611/Professional-Certificate---AI-Engineering.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,IBM AI Engineering by IBM
47,Excel to MySQL: Analytic Techniques for Business,https://www.coursera.org/specializations/excel-mysql,Duke University,SPECIALIZATION,4.6,Beginner,560k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Duke_ExceltoMySQLGetty529354813.jpg?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Excel to MySQL: Analytic Techniques for Business by Duke University
48,Python 3 Programming,https://www.coursera.org/specializations/python-3-programming,University of Michigan,SPECIALIZATION,4.7,Beginner,230k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/be/0ce870e9cb11e8b2d233b4be6a9cf3/pythonfluency_1x1_4.png?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Python 3 Programming by University of Michigan
49,Introduction to Psychology,https://www.coursera.org/learn/introduction-psychology,Yale University,COURSE,4.8,Beginner,450k,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c6/f1ca40d93c11e8ac94f9711b40e58a/IMG_0049.gif?auto=format%2Ccompress&dpr=1&w=150&h=150&fit=fill&bg=FFF,Introduction to Psychology by Yale University
